Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2019-10-27 20:37:28,2,0.27417,0.024559,0.536877,0.797489,0.0
2019-10-27 20:37:29,1001,0.265856,0.056603,0.507051,0.817933,0.0
2019-10-27 20:37:30,2001,0.297342,-5.99E-4,0.463323,0.834816,0.0
2019-10-27 20:37:31,3002,0.310873,0.043583,0.491446,0.812366,0.0
2019-10-27 20:37:32,4001,0.314545,0.055938,0.511645,0.79759,0.0
2019-10-27 20:37:33,5001,0.310324,0.049123,0.491943,0.811958,0.0
2019-10-27 20:37:34,6001,0.310199,0.043765,0.491934,0.812318,0.0
2019-10-27 20:37:35,7001,0.307139,0.049174,0.492112,0.813063,0.0
2019-10-27 20:37:36,8002,0.303849,0.040559,0.486904,0.817896,0.0
2019-10-27 20:37:37,9001,0.29824,0.055604,0.486072,0.819569,0.0
2019-10-27 20:37:38,10001,0.294351,0.032558,0.504421,0.811083,0.0
2019-10-27 20:37:39,11001,0.258952,-0.013626,0.492964,0.830508,0.0
2019-10-27 20:37:40,12001,0.261643,-0.013933,0.493004,0.829635,0.0
2019-10-27 20:37:41,13002,0.261645,-0.014459,0.491253,0.830663,0.0
2019-10-27 20:37:42,14001,0.300907,-0.010623,0.479616,0.824202,0.0
2019-10-27 20:37:43,15001,0.295674,-0.009061,0.482451,0.82446,0.0
2019-10-27 20:37:44,16002,0.295279,-0.007773,0.482181,0.824772,0.0
2019-10-27 20:37:45,17002,0.292126,-0.001821,0.48614,0.823605,0.0
2019-10-27 20:37:46,18001,0.279395,0.001236,0.474017,0.835011,0.0
2019-10-27 20:37:47,19002,0.26625,0.020353,0.461152,0.846188,0.0
2019-10-27 20:37:48,20001,0.240916,0.017109,0.464628,0.851931,0.0
2019-10-27 20:37:49,21001,0.243689,0.014071,0.470998,0.847689,0.0
2019-10-27 20:37:50,22004,0.242756,0.016175,0.473614,0.846461,0.0
2019-10-27 20:37:51,23001,0.243942,0.013611,0.469344,0.848541,0.0
2019-10-27 20:37:52,24001,0.235099,0.007108,0.478619,0.845931,0.0
2019-10-27 20:37:53,25001,0.23242,0.012079,0.475114,0.848587,0.0
2019-10-27 20:37:54,26001,0.278231,0.003189,0.474267,0.835252,0.0
2019-10-27 20:37:55,27001,0.284385,0.004625,0.477444,0.831354,0.0
2019-10-27 20:37:56,28001,0.281206,0.005235,0.475213,0.833707,0.0
2019-10-27 20:37:57,29002,0.276556,0.004575,0.473222,0.836394,0.0
2019-10-27 20:37:58,30001,0.271705,0.00509,0.478357,0.835059,0.0
2019-10-27 20:37:59,31001,0.271256,0.006467,0.478188,0.835292,0.0
2019-10-27 20:38:00,32041,0.270324,0.006416,0.477658,0.835897,0.0
2019-10-27 20:38:01,33040,0.268419,0.00507,0.475761,0.837601,0.0
2019-10-27 20:38:02,34032,0.29441,-0.009428,0.470448,0.831812,0.0
2019-10-27 20:38:03,35040,0.277599,-0.008451,0.468737,0.838541,0.0
2019-10-27 20:38:04,36032,0.267024,-0.026865,0.473006,0.839191,0.0
2019-10-27 20:38:05,37045,0.268546,-0.042411,0.470852,0.839274,0.0
2019-10-27 20:38:06,38042,0.266931,-0.041578,0.471424,0.83951,0.0
2019-10-27 20:38:07,39038,0.268346,-0.037924,0.463149,0.843827,0.0
2019-10-27 20:38:08,40041,0.268348,-0.034261,0.471874,0.839136,0.0
2019-10-27 20:38:09,41033,0.264996,-0.030124,0.472298,0.84012,0.0
2019-10-27 20:38:10,42040,0.2652,-0.029577,0.473948,0.839146,0.0
2019-10-27 20:38:11,43041,0.265786,-0.029038,0.47581,0.837925,0.0
2019-10-27 20:38:12,44041,0.277183,-0.038176,0.471538,0.836279,0.0
2019-10-27 20:38:13,45032,0.430741,-0.015586,0.443378,0.785897,0.0
2019-10-27 20:38:14,46032,0.418789,-0.016974,0.44314,0.792435,0.0
2019-10-27 20:38:15,47033,0.342287,-0.010287,0.467,0.815257,0.0
2019-10-27 20:38:16,48040,0.329449,-7.52E-4,0.464746,0.821871,0.0
2019-10-27 20:38:17,49017,0.348597,0.008284,0.46833,0.811836,0.0
2019-10-27 20:38:18,50040,0.346734,-0.004909,0.46831,0.812672,0.0
2019-10-27 20:38:19,51040,0.35459,0.01338,0.472866,0.806525,0.0
2019-10-27 20:38:20,52040,0.398557,0.012624,0.455129,0.796147,0.0
2019-10-27 20:38:21,53042,0.313249,0.024618,0.473211,0.823006,0.0
2019-10-27 20:38:22,54033,0.30008,0.022716,0.474136,0.827424,0.0
2019-10-27 20:38:23,55041,0.293718,0.010957,0.477334,0.828106,0.0
2019-10-27 20:38:24,56040,0.279024,6.23E-4,0.480107,0.83165,0.0
