Timestamp,Milliseconds,centimeters
2019-10-27 18:41:01,1,8.0
2019-10-27 18:41:02,1000,8.0
2019-10-27 18:41:03,2000,8.0
2019-10-27 18:41:04,3001,8.0
2019-10-27 18:41:05,4000,8.0
2019-10-27 18:41:06,5001,0.0
2019-10-27 18:41:07,6000,0.0
2019-10-27 18:41:08,7000,0.0
2019-10-27 18:41:09,8001,0.0
2019-10-27 18:41:10,9000,0.0
2019-10-27 18:41:11,10000,0.0
2019-10-27 18:41:12,11000,0.0
2019-10-27 18:41:13,12001,8.0
2019-10-27 18:41:14,13000,8.0
2019-10-27 18:41:15,14000,8.0
2019-10-27 18:41:16,15000,8.0
2019-10-27 18:41:17,16001,8.0
2019-10-27 18:41:18,17000,8.0
2019-10-27 18:41:19,18001,8.0
2019-10-27 18:41:20,19000,8.0
2019-10-27 18:41:21,20000,8.0
2019-10-27 18:41:22,21001,8.0
2019-10-27 18:41:23,22000,8.0
2019-10-27 18:41:24,23000,8.0
2019-10-27 18:41:25,24000,8.0
2019-10-27 18:41:26,25000,8.0
2019-10-27 18:41:27,26001,8.0
2019-10-27 18:41:28,27000,8.0
2019-10-27 18:41:29,28000,8.0
2019-10-27 18:41:30,29001,8.0
2019-10-27 18:41:31,30000,8.0
2019-10-27 18:41:32,31001,8.0
2019-10-27 18:41:33,32000,8.0
2019-10-27 18:41:34,33000,8.0
2019-10-27 18:41:35,34001,8.0
2019-10-27 18:41:36,35000,8.0
2019-10-27 18:41:37,36000,8.0
2019-10-27 18:41:38,37001,8.0
2019-10-27 18:41:39,38000,8.0
2019-10-27 18:41:40,39000,8.0
2019-10-27 18:41:41,40001,8.0
2019-10-27 18:41:42,41000,8.0
2019-10-27 18:41:43,42001,8.0
2019-10-27 18:41:44,43000,8.0
2019-10-27 18:41:45,44000,8.0
2019-10-27 18:41:46,45000,8.0
2019-10-27 18:41:47,46001,8.0
2019-10-27 18:41:48,47000,8.0
2019-10-27 18:41:49,48000,8.0
2019-10-27 18:41:50,49001,8.0
2019-10-27 18:41:51,50000,8.0
2019-10-27 18:41:52,51000,8.0
2019-10-27 18:41:53,52000,8.0
2019-10-27 18:41:54,53001,8.0
2019-10-27 18:41:55,54000,8.0
2019-10-27 18:41:56,55000,8.0
2019-10-27 18:41:57,56001,8.0
2019-10-27 18:41:58,57000,8.0
2019-10-27 18:41:59,58000,8.0
2019-10-27 18:42:00,59000,8.0
2019-10-27 18:42:01,60001,8.0
2019-10-27 18:42:02,61000,8.0
2019-10-27 18:42:03,62000,8.0
2019-10-27 18:42:04,63001,8.0
2019-10-27 18:42:05,64000,8.0
2019-10-27 18:42:06,65000,8.0
2019-10-27 18:42:07,66001,8.0
2019-10-27 18:42:08,67000,8.0
2019-10-27 18:42:09,68000,8.0
2019-10-27 18:42:10,69000,8.0
2019-10-27 18:42:11,70001,8.0
2019-10-27 18:42:12,71000,8.0
2019-10-27 18:42:13,72000,8.0
