Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2019-10-27 16:06:15,0,0.07282,0.134469,0.900092,0.407981,0.0
2019-10-27 16:06:16,1000,0.056688,-0.198193,-0.977819,0.037074,0.0
2019-10-27 16:06:17,2000,-0.033837,-0.013658,-0.969777,0.241247,0.0
2019-10-27 16:06:18,3001,0.004344,3.22E-4,0.999286,0.037515,0.0
2019-10-27 16:06:19,4000,0.005296,0.003009,0.999374,0.034844,0.0
2019-10-27 16:06:20,5001,0.005577,0.003674,0.999009,0.043989,0.0
2019-10-27 16:06:21,6000,0.00561,0.00383,0.999006,0.044045,0.0
2019-10-27 16:06:22,7000,0.005774,0.00391,0.999001,0.044122,0.0
2019-10-27 16:06:23,8001,0.055958,-0.146498,0.9735,0.166442,0.0
2019-10-27 16:06:24,9000,0.060118,-0.040479,0.95899,0.274016,0.0
2019-10-27 16:06:25,10000,-0.00656,-0.002794,0.891485,0.452993,0.0
2019-10-27 16:06:26,11001,-0.001713,-0.002633,0.894827,0.446401,0.0
2019-10-27 16:06:27,12000,-1.1E-4,-8.62E-4,0.892294,0.451452,0.0
2019-10-27 16:06:28,13000,3.7E-4,-3.19E-4,0.894509,0.447049,0.0
2019-10-27 16:06:29,14001,4.84E-4,-2.53E-4,0.894487,0.447093,0.0
2019-10-27 16:06:30,15000,5.96E-4,-2.58E-4,0.894472,0.447122,0.0
2019-10-27 16:06:31,16000,5.3E-4,-3.88E-4,0.894487,0.447093,0.0
2019-10-27 16:06:32,17000,3.77E-4,-6.05E-4,0.894523,0.447019,0.0
2019-10-27 16:06:33,18000,2.52E-4,-8.03E-4,0.89456,0.446946,0.0
2019-10-27 16:06:34,19001,1.48E-4,-9.35E-4,0.894582,0.446902,0.0
2019-10-27 16:06:35,20000,2.82E-4,-7.01E-4,0.894567,0.446931,0.0
2019-10-27 16:06:36,21000,3.26E-4,-6.23E-4,0.894538,0.44699,0.0
2019-10-27 16:06:37,22001,3.31E-4,-6.2E-4,0.894538,0.44699,0.0
2019-10-27 16:06:38,23000,4.95E-4,-7.49E-4,0.894523,0.447019,0.0
2019-10-27 16:06:39,24000,7.38E-4,-8.67E-4,0.894494,0.447078,0.0
2019-10-27 16:06:40,25001,8.25E-4,-8.91E-4,0.894479,0.447107,0.0
2019-10-27 16:06:41,26001,8.42E-4,-8.72E-4,0.894479,0.447107,0.0
2019-10-27 16:06:42,27000,8.32E-4,-9.02E-4,0.894479,0.447107,0.0
2019-10-27 16:06:43,28000,8.19E-4,-9.4E-4,0.894479,0.447107,0.0
2019-10-27 16:06:44,29001,8.17E-4,-9.47E-4,0.894479,0.447107,0.0
2019-10-27 16:06:45,30000,8.41E-4,-9.55E-4,0.894479,0.447107,0.0
2019-10-27 16:06:46,31000,8.45E-4,-9.61E-4,0.894486,0.447092,0.0
2019-10-27 16:06:47,32000,8.77E-4,-0.001097,0.894464,0.447136,0.0
2019-10-27 16:06:48,33001,8.08E-4,-0.001012,0.894493,0.447078,0.0
2019-10-27 16:06:49,34000,7.43E-4,-9.91E-4,0.894501,0.447063,0.0
2019-10-27 16:06:50,35000,7.32E-4,-0.001004,0.894501,0.447063,0.0
2019-10-27 16:06:51,36000,7.34E-4,-0.001009,0.894501,0.447063,0.0
