Timestamp,Milliseconds,Degrees
2019-10-27 21:42:51,1,0.0
2019-10-27 21:42:52,1001,0.0
2019-10-27 21:42:53,2002,0.0
2019-10-27 21:42:54,3001,0.0
2019-10-27 21:42:55,4001,0.0
2019-10-27 21:42:56,5002,0.0
2019-10-27 21:42:57,6001,0.0
2019-10-27 21:42:58,7001,0.0
2019-10-27 21:42:59,8002,0.0
2019-10-27 21:43:00,9001,0.0
2019-10-27 21:43:01,10001,0.0
2019-10-27 21:43:02,11001,0.0
2019-10-27 21:43:03,12002,0.0
2019-10-27 21:43:04,13001,0.0
2019-10-27 21:43:05,14001,0.0
2019-10-27 21:43:06,15002,0.0
2019-10-27 21:43:07,16001,0.0
2019-10-27 21:43:08,17001,0.0
2019-10-27 21:43:09,18002,0.0
2019-10-27 21:43:10,19001,0.0
2019-10-27 21:43:11,20001,0.0
2019-10-27 21:43:12,21001,0.0
2019-10-27 21:43:13,22002,0.0
2019-10-27 21:43:14,23001,0.0
2019-10-27 21:43:15,24001,0.0
2019-10-27 21:43:16,25002,0.0
2019-10-27 21:43:17,26001,0.0
2019-10-27 21:43:18,27001,0.0
2019-10-27 21:43:19,28001,0.0
2019-10-27 21:43:20,29002,0.0
2019-10-27 21:43:21,30002,0.0
2019-10-27 21:43:22,31001,0.0
2019-10-27 21:43:23,32001,0.0
2019-10-27 21:43:24,33001,0.0
2019-10-27 21:43:25,34001,0.0
2019-10-27 21:43:26,35002,0.0
2019-10-27 21:43:27,36001,0.0
2019-10-27 21:43:28,37001,0.0
2019-10-27 21:43:29,38002,0.0
2019-10-27 21:43:30,39001,0.0
2019-10-27 21:43:31,40001,0.0
2019-10-27 21:43:32,41001,0.0
2019-10-27 21:43:33,42001,0.0
2019-10-27 21:43:34,43002,0.0
2019-10-27 21:43:35,44001,0.0
2019-10-27 21:43:36,45001,0.0
2019-10-27 21:43:37,46001,0.0
2019-10-27 21:43:38,47001,0.0
2019-10-27 21:43:39,48002,0.0
2019-10-27 21:43:40,49001,0.0
2019-10-27 21:43:41,50001,0.0
2019-10-27 21:43:42,51001,0.0
2019-10-27 21:43:43,52002,0.0
2019-10-27 21:43:44,53001,0.0
2019-10-27 21:43:45,54001,0.0
2019-10-27 21:43:46,55002,0.0
2019-10-27 21:43:47,56001,0.0
2019-10-27 21:43:48,57002,0.0
2019-10-27 21:43:49,58001,0.0
2019-10-27 21:43:50,59001,0.0
2019-10-27 21:43:51,60002,0.0
2019-10-27 21:43:52,61001,0.0
2019-10-27 21:43:53,62001,0.0
2019-10-27 21:43:54,63002,0.0
2019-10-27 21:43:55,64001,0.0
2019-10-27 21:43:56,65001,0.0
2019-10-27 21:43:57,66001,0.0
2019-10-27 21:43:58,67003,0.0
2019-10-27 21:43:59,68001,0.0
2019-10-27 21:44:00,69001,0.0
2019-10-27 21:44:01,70001,0.0
2019-10-27 21:44:02,71001,0.0
2019-10-27 21:44:03,72002,0.0
2019-10-27 21:44:04,73001,0.0
2019-10-27 21:44:05,74001,0.0
2019-10-27 21:44:06,75001,0.0
2019-10-27 21:44:07,76002,0.0
2019-10-27 21:44:08,77001,0.0
2019-10-27 21:44:09,78002,0.0
2019-10-27 21:44:10,79001,0.0
2019-10-27 21:44:11,80001,0.0
2019-10-27 21:44:12,81001,0.0
2019-10-27 21:44:13,82002,0.0
2019-10-27 21:44:14,83001,0.0
2019-10-27 21:44:15,84001,0.0
2019-10-27 21:44:16,85001,0.0
2019-10-27 21:44:17,86001,0.0
2019-10-27 21:44:18,87002,0.0
2019-10-27 21:44:19,88001,0.0
2019-10-27 21:44:20,89001,0.0
2019-10-27 21:44:21,90001,0.0
2019-10-27 21:44:22,91001,0.0
2019-10-27 21:44:23,92002,0.0
2019-10-27 21:44:24,93001,0.0
2019-10-27 21:44:25,94001,0.0
2019-10-27 21:44:26,95002,0.0
2019-10-27 21:44:27,96001,0.0
2019-10-27 21:44:28,97004,0.0
2019-10-27 21:44:29,98002,0.0
2019-10-27 21:44:30,99001,0.0
2019-10-27 21:44:31,100001,0.0
2019-10-27 21:44:32,101001,0.0
2019-10-27 21:44:33,102002,0.0
2019-10-27 21:44:34,103001,0.0
2019-10-27 21:44:35,104001,0.0
2019-10-27 21:44:36,105002,0.0
2019-10-27 21:44:37,106002,0.0
2019-10-27 21:44:38,107001,0.0
2019-10-27 21:44:39,108001,0.0
2019-10-27 21:44:40,109001,0.0
2019-10-27 21:44:41,110002,0.0
2019-10-27 21:44:42,111001,0.0
2019-10-27 21:44:43,112001,0.0
2019-10-27 21:44:44,113001,0.0
2019-10-27 21:44:45,114001,0.0
2019-10-27 21:44:46,115001,0.0
2019-10-27 21:44:47,116002,0.0
2019-10-27 21:44:48,117001,0.0
2019-10-27 21:44:49,118001,0.0
2019-10-27 21:44:50,119002,0.0
2019-10-27 21:44:51,120001,0.0
2019-10-27 21:44:52,121001,0.0
2019-10-27 21:44:53,122001,0.0
2019-10-27 21:44:54,123002,0.0
2019-10-27 21:44:55,124001,0.0
2019-10-27 21:44:56,125001,0.0
2019-10-27 21:44:57,126001,0.0
2019-10-27 21:44:58,127002,0.0
2019-10-27 21:44:59,128001,0.0
2019-10-27 21:45:00,129001,0.0
2019-10-27 21:45:01,130002,0.0
2019-10-27 21:45:02,131001,0.0
2019-10-27 21:45:03,132001,0.0
2019-10-27 21:45:04,133002,0.0
2019-10-27 21:45:05,134001,0.0
2019-10-27 21:45:06,135001,0.0
2019-10-27 21:45:07,136001,0.0
2019-10-27 21:45:08,137001,0.0
2019-10-27 21:45:09,138001,0.0
2019-10-27 21:45:10,139001,0.0
2019-10-27 21:45:11,140002,0.0
2019-10-27 21:45:12,141001,0.0
2019-10-27 21:45:13,142001,0.0
2019-10-27 21:45:14,143001,0.0
2019-10-27 21:45:15,144001,0.0
2019-10-27 21:45:16,145001,0.0
2019-10-27 21:45:17,146001,0.0
2019-10-27 21:45:18,147002,0.0
2019-10-27 21:45:19,148001,0.0
2019-10-27 21:45:20,149001,0.0
2019-10-27 21:45:21,150001,0.0
2019-10-27 21:45:22,151001,0.0
2019-10-27 21:45:23,152001,0.0
2019-10-27 21:45:24,153001,0.0
2019-10-27 21:45:25,154001,0.0
2019-10-27 21:45:26,155002,0.0
2019-10-27 21:45:27,156001,0.0
2019-10-27 21:45:28,157001,0.0
2019-10-27 21:45:29,158001,0.0
2019-10-27 21:45:30,159002,0.0
2019-10-27 21:45:31,160001,0.0
2019-10-27 21:45:32,161001,0.0
2019-10-27 21:45:33,162002,0.0
2019-10-27 21:45:34,163001,0.0
2019-10-27 21:45:35,164001,0.0
2019-10-27 21:45:36,165001,0.0
2019-10-27 21:45:37,166002,0.0
2019-10-27 21:45:38,167001,0.0
2019-10-27 21:45:39,168001,0.0
2019-10-27 21:45:40,169001,0.0
2019-10-27 21:45:41,170002,0.0
2019-10-27 21:45:42,171001,0.0
2019-10-27 21:45:43,172001,0.0
2019-10-27 21:45:44,173002,0.0
2019-10-27 21:45:45,174001,0.0
2019-10-27 21:45:46,175001,0.0
2019-10-27 21:45:47,176001,0.0
2019-10-27 21:45:48,177001,0.0
2019-10-27 21:45:49,178001,0.0
2019-10-27 21:45:50,179001,0.0
2019-10-27 21:45:51,180002,0.0
2019-10-27 21:45:52,181001,0.0
2019-10-27 21:45:53,182001,0.0
2019-10-27 21:45:54,183002,0.0
2019-10-27 21:45:55,184001,0.0
2019-10-27 21:45:56,185001,0.0
2019-10-27 21:45:57,186001,0.0
2019-10-27 21:45:58,187001,0.0
