Timestamp,Milliseconds,centimeters
2019-10-26 22:35:35,2,8.0
2019-10-26 22:35:36,1002,8.0
2019-10-26 22:35:37,2002,8.0
2019-10-26 22:35:38,3003,8.0
2019-10-26 22:35:39,4002,8.0
2019-10-26 22:35:40,5002,8.0
2019-10-26 22:35:41,6002,8.0
2019-10-26 22:35:42,7002,8.0
2019-10-26 22:35:43,8003,8.0
2019-10-26 22:35:44,9002,8.0
2019-10-26 22:35:45,10003,8.0
2019-10-26 22:35:46,11002,8.0
2019-10-26 22:35:47,12002,8.0
2019-10-26 22:35:48,13002,8.0
2019-10-26 22:35:49,14003,8.0
2019-10-26 22:35:50,15002,8.0
2019-10-26 22:35:51,16002,8.0
2019-10-26 22:35:52,17002,8.0
2019-10-26 22:35:53,18003,8.0
2019-10-26 22:35:54,19002,8.0
2019-10-26 22:35:55,20003,8.0
2019-10-26 22:35:56,21002,8.0
2019-10-26 22:35:57,22002,8.0
2019-10-26 22:35:58,23002,8.0
2019-10-26 22:35:59,24003,8.0
2019-10-26 22:36:00,25002,8.0
2019-10-26 22:36:01,26002,8.0
2019-10-26 22:36:02,27003,8.0
2019-10-26 22:36:03,28002,8.0
2019-10-26 22:36:04,29002,8.0
2019-10-26 22:36:05,30003,8.0
2019-10-26 22:36:06,31002,8.0
2019-10-26 22:36:07,32002,8.0
2019-10-26 22:36:08,33003,8.0
2019-10-26 22:36:09,34002,8.0
2019-10-26 22:36:10,35002,8.0
2019-10-26 22:36:11,36003,8.0
2019-10-26 22:36:12,37002,8.0
2019-10-26 22:36:13,38002,8.0
2019-10-26 22:36:14,39003,8.0
2019-10-26 22:36:15,40002,8.0
2019-10-26 22:36:16,41002,8.0
2019-10-26 22:36:17,42003,8.0
2019-10-26 22:36:18,43002,8.0
2019-10-26 22:36:19,44002,8.0
2019-10-26 22:36:20,45002,8.0
2019-10-26 22:36:21,46002,8.0
2019-10-26 22:36:22,47003,8.0
2019-10-26 22:36:23,48002,8.0
2019-10-26 22:36:24,49002,8.0
2019-10-26 22:36:25,50002,8.0
2019-10-26 22:36:26,51003,8.0
2019-10-26 22:36:27,52002,8.0
2019-10-26 22:36:28,53002,8.0
2019-10-26 22:36:29,54003,8.0
2019-10-26 22:36:30,55002,8.0
2019-10-26 22:36:31,56002,8.0
2019-10-26 22:36:32,57003,8.0
2019-10-26 22:36:33,58003,8.0
2019-10-26 22:36:34,59002,8.0
2019-10-26 22:36:35,60002,8.0
2019-10-26 22:36:36,61003,8.0
2019-10-26 22:36:37,62002,8.0
2019-10-26 22:36:38,63002,8.0
2019-10-26 22:36:39,64002,8.0
2019-10-26 22:36:40,65002,8.0
2019-10-26 22:36:41,66003,8.0
2019-10-26 22:36:42,67002,8.0
2019-10-26 22:36:43,68002,8.0
2019-10-26 22:36:44,69003,8.0
2019-10-26 22:36:45,70002,8.0
2019-10-26 22:36:46,71002,8.0
2019-10-26 22:36:47,72003,8.0
2019-10-26 22:36:48,73002,8.0
2019-10-26 22:36:49,74003,8.0
2019-10-26 22:36:50,75003,8.0
2019-10-26 22:36:51,76003,8.0
2019-10-26 22:36:52,77002,8.0
2019-10-26 22:36:53,78002,8.0
2019-10-26 22:36:54,79003,8.0
2019-10-26 22:36:55,80002,8.0
2019-10-26 22:36:56,81002,8.0
2019-10-26 22:36:57,82003,8.0
2019-10-26 22:36:58,83002,8.0
2019-10-26 22:36:59,84002,8.0
2019-10-26 22:37:00,85003,8.0
2019-10-26 22:37:01,86002,8.0
2019-10-26 22:37:02,87003,8.0
2019-10-26 22:37:03,88002,8.0
2019-10-26 22:37:04,89003,8.0
2019-10-26 22:37:05,90002,8.0
2019-10-26 22:37:06,91002,8.0
2019-10-26 22:37:07,92002,8.0
2019-10-26 22:37:08,93003,8.0
2019-10-26 22:37:09,94002,8.0
2019-10-26 22:37:10,95003,8.0
2019-10-26 22:37:11,96002,8.0
2019-10-26 22:37:12,97002,8.0
2019-10-26 22:37:13,98002,8.0
2019-10-26 22:37:14,99002,8.0
2019-10-26 22:37:15,100002,8.0
2019-10-26 22:37:16,101002,8.0
2019-10-26 22:37:17,102002,8.0
2019-10-26 22:37:18,103003,8.0
2019-10-26 22:37:19,104002,8.0
2019-10-26 22:37:20,105002,8.0
2019-10-26 22:37:21,106003,8.0
2019-10-26 22:37:22,107002,8.0
2019-10-26 22:37:23,108002,8.0
2019-10-26 22:37:24,109002,8.0
2019-10-26 22:37:25,110003,8.0
2019-10-26 22:37:26,111002,8.0
