Timestamp,Milliseconds,Degrees
2019-10-27 16:06:15,1,0.0
2019-10-27 16:06:16,1002,0.0
2019-10-27 16:06:17,2001,0.0
2019-10-27 16:06:18,3001,0.0
2019-10-27 16:06:19,4002,0.0
2019-10-27 16:06:20,5002,0.0
2019-10-27 16:06:21,6001,0.0
2019-10-27 16:06:22,7001,0.0
2019-10-27 16:06:23,8001,0.0
2019-10-27 16:06:24,9001,0.0
2019-10-27 16:06:25,10002,0.0
2019-10-27 16:06:26,11001,0.0
2019-10-27 16:06:27,12002,0.0
2019-10-27 16:06:28,13001,0.0
2019-10-27 16:06:29,14001,0.0
2019-10-27 16:06:30,15001,0.0
2019-10-27 16:06:31,16001,0.0
2019-10-27 16:06:32,17002,0.0
2019-10-27 16:06:33,18001,0.0
2019-10-27 16:06:34,19001,0.0
2019-10-27 16:06:35,20001,0.0
2019-10-27 16:06:36,21001,0.0
2019-10-27 16:06:37,22002,0.0
2019-10-27 16:06:38,23001,0.0
2019-10-27 16:06:39,24001,0.0
2019-10-27 16:06:40,25001,0.0
2019-10-27 16:06:41,26001,0.0
2019-10-27 16:06:42,27002,0.0
2019-10-27 16:06:43,28001,0.0
2019-10-27 16:06:44,29001,0.0
2019-10-27 16:06:45,30001,0.0
2019-10-27 16:06:46,31001,0.0
2019-10-27 16:06:47,32002,0.0
2019-10-27 16:06:48,33001,0.0
2019-10-27 16:06:49,34001,0.0
2019-10-27 16:06:50,35001,0.0
2019-10-27 16:06:51,36002,0.0
2019-10-27 16:06:52,37001,0.0
2019-10-27 16:06:53,38001,0.0
2019-10-27 16:06:54,39001,0.0
2019-10-27 16:06:55,40002,0.0
2019-10-27 16:06:56,41001,0.0
2019-10-27 16:06:57,42001,0.0
2019-10-27 16:06:58,43001,0.0
2019-10-27 16:06:59,44002,0.0
2019-10-27 16:07:00,45001,0.0
2019-10-27 16:07:01,46001,0.0
2019-10-27 16:07:02,47001,0.0
2019-10-27 16:07:03,48002,0.0
2019-10-27 16:07:04,49001,0.0
2019-10-27 16:07:05,50001,0.0
2019-10-27 16:07:06,51002,0.0
2019-10-27 16:07:07,52001,0.0
2019-10-27 16:07:08,53001,0.0
2019-10-27 16:07:09,54001,0.0
2019-10-27 16:07:10,55002,0.0
2019-10-27 16:07:11,56001,0.0
2019-10-27 16:07:12,57002,0.0
2019-10-27 16:07:13,58001,0.0
2019-10-27 16:07:14,59001,0.0
2019-10-27 16:07:15,60001,0.0
2019-10-27 16:07:16,61002,0.0
2019-10-27 16:07:17,62001,0.0
