Timestamp,Milliseconds,Degrees
2019-10-26 22:35:35,1,0.0
2019-10-26 22:35:36,1001,0.0
2019-10-26 22:35:37,2001,0.0
2019-10-26 22:35:38,3001,0.0
2019-10-26 22:35:39,4002,0.0
2019-10-26 22:35:40,5002,0.0
2019-10-26 22:35:41,6001,0.0
2019-10-26 22:35:42,7001,0.0
2019-10-26 22:35:43,8002,0.0
2019-10-26 22:35:44,9001,0.0
2019-10-26 22:35:45,10001,0.0
2019-10-26 22:35:46,11001,0.0
2019-10-26 22:35:47,12001,0.0
2019-10-26 22:35:48,13002,0.0
2019-10-26 22:35:49,14001,0.0
2019-10-26 22:35:50,15001,0.0
2019-10-26 22:35:51,16001,0.0
2019-10-26 22:35:52,17001,0.0
2019-10-26 22:35:53,18001,0.0
2019-10-26 22:35:54,19002,0.0
2019-10-26 22:35:55,20001,0.0
2019-10-26 22:35:56,21001,0.0
2019-10-26 22:35:57,22001,0.0
2019-10-26 22:35:58,23001,0.0
2019-10-26 22:35:59,24002,0.0
2019-10-26 22:36:00,25001,0.0
2019-10-26 22:36:01,26001,0.0
2019-10-26 22:36:02,27001,0.0
2019-10-26 22:36:03,28002,0.0
2019-10-26 22:36:04,29001,0.0
2019-10-26 22:36:05,30001,0.0
2019-10-26 22:36:06,31001,0.0
2019-10-26 22:36:07,32002,0.0
2019-10-26 22:36:08,33001,0.0
2019-10-26 22:36:09,34001,0.0
2019-10-26 22:36:10,35002,0.0
2019-10-26 22:36:11,36001,0.0
2019-10-26 22:36:12,37001,0.0
2019-10-26 22:36:13,38001,0.0
2019-10-26 22:36:14,39002,0.0
2019-10-26 22:36:15,40001,0.0
2019-10-26 22:36:16,41001,0.0
2019-10-26 22:36:17,42001,0.0
2019-10-26 22:36:18,43002,0.0
2019-10-26 22:36:19,44001,0.0
2019-10-26 22:36:20,45001,0.0
2019-10-26 22:36:21,46001,0.0
2019-10-26 22:36:22,47002,0.0
2019-10-26 22:36:23,48001,0.0
2019-10-26 22:36:24,49001,0.0
2019-10-26 22:36:25,50001,0.0
2019-10-26 22:36:26,51002,0.0
2019-10-26 22:36:27,52001,0.0
2019-10-26 22:36:28,53001,0.0
2019-10-26 22:36:29,54001,0.0
2019-10-26 22:36:30,55001,0.0
2019-10-26 22:36:31,56002,0.0
2019-10-26 22:36:32,57001,0.0
2019-10-26 22:36:33,58001,0.0
2019-10-26 22:36:34,59002,0.0
2019-10-26 22:36:35,60001,0.0
2019-10-26 22:36:36,61001,0.0
2019-10-26 22:36:37,62001,0.0
2019-10-26 22:36:38,63001,0.0
2019-10-26 22:36:39,64002,0.0
2019-10-26 22:36:40,65001,0.0
2019-10-26 22:36:41,66001,0.0
2019-10-26 22:36:42,67001,0.0
2019-10-26 22:36:43,68002,0.0
2019-10-26 22:36:44,69001,0.0
2019-10-26 22:36:45,70001,0.0
2019-10-26 22:36:46,71002,0.0
2019-10-26 22:36:47,72001,0.0
