Timestamp,Milliseconds,X,Y,Z
2019-10-26 22:35:35,0,32.04,-22.56,-14.7
2019-10-26 22:35:36,1000,29.939999,-19.619999,29.279999
2019-10-26 22:35:37,2001,38.399998,-29.039999,-8.099999
2019-10-26 22:35:38,3000,34.98,-33.18,6.96
2019-10-26 22:35:39,4000,40.26,-44.879997,-19.92
2019-10-26 22:35:40,5000,46.32,-46.86,-32.64
2019-10-26 22:35:41,6000,40.26,-43.559998,-32.82
2019-10-26 22:35:42,7000,31.74,-40.379997,-28.56
2019-10-26 22:35:43,8001,20.939999,-46.079998,-21.72
2019-10-26 22:35:44,9000,22.26,-48.539997,-24.48
2019-10-26 22:35:45,10000,19.859999,-45.48,-21.119999
2019-10-26 22:35:46,11000,20.58,-45.48,-21.539999
2019-10-26 22:35:47,12001,20.34,-46.14,-22.5
2019-10-26 22:35:48,13000,20.22,-45.42,-22.08
2019-10-26 22:35:49,14000,20.82,-45.84,-21.539999
2019-10-26 22:35:50,15000,20.16,-45.899998,-21.3
2019-10-26 22:35:51,16000,19.74,-46.02,-22.38
2019-10-26 22:35:52,17001,20.22,-45.899998,-21.359999
2019-10-26 22:35:53,18000,20.46,-46.559998,-21.119999
2019-10-26 22:35:54,19000,20.699999,-46.02,-21.779999
2019-10-26 22:35:55,20001,20.279999,-46.02,-21.42
2019-10-26 22:35:56,21000,19.74,-46.32,-21.6
2019-10-26 22:35:57,22000,20.16,-45.6,-21.48
2019-10-26 22:35:58,23000,19.8,-46.68,-22.14
2019-10-26 22:35:59,24001,20.52,-46.02,-21.96
2019-10-26 22:36:00,25000,19.92,-45.96,-21.42
2019-10-26 22:36:01,26000,20.58,-46.5,-21.0
2019-10-26 22:36:02,27000,20.58,-45.48,-20.76
2019-10-26 22:36:03,28001,20.039999,-46.079998,-21.539999
2019-10-26 22:36:04,29000,20.34,-45.719997,-21.48
2019-10-26 22:36:05,30000,21.0,-45.48,-21.9
2019-10-26 22:36:06,31000,20.279999,-46.44,-21.84
2019-10-26 22:36:07,32000,20.46,-46.379997,-22.38
2019-10-26 22:36:08,33001,19.859999,-46.32,-21.9
2019-10-26 22:36:09,34000,20.22,-46.26,-21.539999
2019-10-26 22:36:10,35000,20.46,-46.02,-21.06
2019-10-26 22:36:11,36000,20.22,-46.26,-21.3
2019-10-26 22:36:12,37001,19.92,-45.84,-21.48
2019-10-26 22:36:13,38000,19.14,-46.8,-20.699999
2019-10-26 22:36:14,39000,20.16,-46.14,-21.18
2019-10-26 22:36:15,40001,20.16,-46.559998,-21.06
2019-10-26 22:36:16,41000,19.56,-46.5,-21.48
2019-10-26 22:36:17,42000,19.98,-46.739998,-21.539999
2019-10-26 22:36:18,43001,20.34,-45.96,-21.3
2019-10-26 22:36:19,44000,19.5,-46.32,-21.24
2019-10-26 22:36:20,45000,20.1,-45.899998,-21.42
2019-10-26 22:36:21,46001,20.039999,-45.66,-21.24
2019-10-26 22:36:22,47000,20.52,-45.539997,-20.82
2019-10-26 22:36:23,48000,19.32,-45.539997,-21.539999
2019-10-26 22:36:24,49000,20.52,-45.539997,-21.72
2019-10-26 22:36:25,50000,19.98,-45.18,-21.66
2019-10-26 22:36:26,51001,21.06,-45.539997,-21.359999
2019-10-26 22:36:27,52000,19.8,-45.66,-21.42
2019-10-26 22:36:28,53000,20.279999,-46.2,-21.539999
2019-10-26 22:36:29,54000,19.74,-46.559998,-21.96
2019-10-26 22:36:30,55000,19.56,-45.899998,-20.88
2019-10-26 22:36:31,56001,20.16,-46.2,-22.02
2019-10-26 22:36:32,57000,20.46,-46.559998,-21.6
2019-10-26 22:36:33,58000,20.76,-46.26,-21.119999
2019-10-26 22:36:34,59001,20.34,-46.44,-21.779999
2019-10-26 22:36:35,60000,23.699999,-49.079998,-25.199999
