Timestamp,Milliseconds,Illuminance
2019-10-27 20:37:28,0,80.0
2019-10-27 20:37:29,1001,129.0
2019-10-27 20:37:30,2000,116.0
2019-10-27 20:37:31,3000,60.0
2019-10-27 20:37:32,4000,60.0
2019-10-27 20:37:33,5000,60.0
2019-10-27 20:37:34,6000,76.0
2019-10-27 20:37:35,7001,74.0
2019-10-27 20:37:36,8000,120.0
2019-10-27 20:37:37,9000,123.0
2019-10-27 20:37:38,10000,105.0
2019-10-27 20:37:39,11000,83.0
2019-10-27 20:37:40,12000,116.0
2019-10-27 20:37:41,13001,118.0
2019-10-27 20:37:42,14000,104.0
2019-10-27 20:37:43,15000,110.0
2019-10-27 20:37:44,16004,110.0
2019-10-27 20:37:45,17000,114.0
2019-10-27 20:37:46,18000,121.0
2019-10-27 20:37:47,19001,130.0
2019-10-27 20:37:48,20000,121.0
2019-10-27 20:37:49,21000,144.0
2019-10-27 20:37:50,22001,144.0
2019-10-27 20:37:51,23001,145.0
2019-10-27 20:37:52,24000,143.0
2019-10-27 20:37:53,25000,111.0
2019-10-27 20:37:54,26000,127.0
2019-10-27 20:37:55,27000,121.0
2019-10-27 20:37:56,28001,122.0
2019-10-27 20:37:57,29000,126.0
2019-10-27 20:37:58,30000,129.0
2019-10-27 20:37:59,31001,130.0
2019-10-27 20:38:00,32034,130.0
2019-10-27 20:38:01,33038,131.0
2019-10-27 20:38:02,34040,120.0
2019-10-27 20:38:03,35024,126.0
2019-10-27 20:38:04,36024,122.0
2019-10-27 20:38:05,37037,119.0
2019-10-27 20:38:06,38040,119.0
2019-10-27 20:38:07,39037,120.0
2019-10-27 20:38:08,40038,122.0
2019-10-27 20:38:09,41034,123.0
2019-10-27 20:38:10,42037,124.0
2019-10-27 20:38:11,43038,124.0
2019-10-27 20:38:12,44041,125.0
2019-10-27 20:38:13,45033,65.0
2019-10-27 20:38:14,46033,71.0
2019-10-27 20:38:15,47041,103.0
2019-10-27 20:38:16,48029,111.0
2019-10-27 20:38:17,49025,110.0
2019-10-27 20:38:18,50040,101.0
2019-10-27 20:38:19,51037,110.0
2019-10-27 20:38:20,52037,85.0
2019-10-27 20:38:21,53040,117.0
2019-10-27 20:38:22,54039,119.0
2019-10-27 20:38:23,55038,124.0
2019-10-27 20:38:24,56038,127.0
2019-10-27 20:38:25,57039,130.0
2019-10-27 20:38:26,58037,127.0
2019-10-27 20:38:27,59018,123.0
2019-10-27 20:38:28,60035,123.0
2019-10-27 20:38:29,61038,122.0
2019-10-27 20:38:30,62039,122.0
2019-10-27 20:38:31,63038,122.0
2019-10-27 20:38:32,64037,122.0
2019-10-27 20:38:33,65038,122.0
2019-10-27 20:38:34,66005,122.0
2019-10-27 20:38:35,67039,122.0
2019-10-27 20:38:36,68040,122.0
2019-10-27 20:38:37,69041,122.0
2019-10-27 20:38:38,70040,122.0
2019-10-27 20:38:39,71038,122.0
2019-10-27 20:38:40,72040,122.0
2019-10-27 20:38:41,73017,122.0
2019-10-27 20:38:42,74008,122.0
2019-10-27 20:38:43,75025,122.0
2019-10-27 20:38:44,76032,122.0
2019-10-27 20:38:45,77037,122.0
2019-10-27 20:38:46,78037,122.0
2019-10-27 20:38:47,79015,122.0
2019-10-27 20:38:48,80038,122.0
2019-10-27 20:38:49,81037,122.0
2019-10-27 20:38:50,82035,122.0
2019-10-27 20:38:51,83034,122.0
2019-10-27 20:38:52,84038,122.0
2019-10-27 20:38:53,85037,122.0
2019-10-27 20:38:54,86038,122.0
2019-10-27 20:38:55,87040,122.0
2019-10-27 20:38:56,88038,122.0
2019-10-27 20:38:57,89024,122.0
2019-10-27 20:38:58,90009,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
2019-10-27 20:40:53,205714,122.0
