Timestamp,Milliseconds,X,Y,Z
2019-10-27 20:37:28,5,2.9329867,4.4653225,8.181237
2019-10-27 20:37:29,1001,2.0854135,4.932206,8.877971
2019-10-27 20:37:30,2001,2.5499027,5.358387,8.712766
2019-10-27 20:37:31,3002,2.011191,5.525986,7.8891354
2019-10-27 20:37:32,4001,2.2865324,5.5140147,7.8795586
2019-10-27 20:37:33,5001,2.343995,5.3009243,7.927444
2019-10-27 20:37:34,6002,2.3152637,5.375147,7.8388557
2019-10-27 20:37:35,7001,1.8842943,5.643306,7.848433
2019-10-27 20:37:36,8002,2.5594797,5.219519,7.4845033
2019-10-27 20:37:37,9001,1.9106313,5.28177,8.741497
2019-10-27 20:37:38,10001,2.466103,4.9393888,8.490098
2019-10-27 20:37:39,11001,2.779753,4.070267,8.554744
2019-10-27 20:37:40,12002,2.7749646,4.163644,8.607418
2019-10-27 20:37:41,13001,2.80609,4.1420956,8.466156
2019-10-27 20:37:42,14001,3.0383348,4.8579836,7.800547
2019-10-27 20:37:43,15001,3.014392,4.695173,8.2339115
2019-10-27 20:37:44,16001,2.9569294,4.7262983,8.2387
2019-10-27 20:37:45,17001,2.8204558,4.72151,8.178843
2019-10-27 20:37:46,18001,2.8108785,4.4749,8.056735
2019-10-27 20:37:47,19001,2.0327394,4.6736245,8.605023
2019-10-27 20:37:48,20002,1.9489397,4.113364,9.009656
2019-10-27 20:37:49,21001,1.9369683,4.2139235,8.983319
2019-10-27 20:37:50,22002,2.0159793,4.187587,8.803748
2019-10-27 20:37:51,23001,2.0016139,4.225895,8.741497
2019-10-27 20:37:52,24002,2.2554069,3.9529476,8.56911
2019-10-27 20:37:53,25001,2.0542877,4.022382,8.842057
2019-10-27 20:37:54,26001,2.5810282,4.63771,8.889942
2019-10-27 20:37:55,27001,2.700742,4.6712303,8.291373
2019-10-27 20:37:56,28002,2.5738454,4.6736245,8.28898
2019-10-27 20:37:57,29001,2.5139885,4.6233444,8.274613
2019-10-27 20:37:58,30001,2.4469488,4.5539107,8.442213
2019-10-27 20:37:59,31002,2.3942747,4.5515165,8.41827
2019-10-27 20:38:00,32032,2.5020173,4.515602,8.346442
2019-10-27 20:38:01,33041,2.4469488,4.45814,8.593052
2019-10-27 20:38:02,34041,2.8898897,4.697567,7.9944835
2019-10-27 20:38:03,35041,2.7127132,4.558699,8.375174
2019-10-27 20:38:04,36032,3.0383348,4.1804037,8.427847
2019-10-27 20:38:05,37042,3.1843855,4.1085753,8.449396
2019-10-27 20:38:06,38038,3.1748085,4.048719,8.4230585
2019-10-27 20:38:07,39039,3.0622776,4.146884,8.356019
2019-10-27 20:38:08,40037,3.067066,4.103787,8.540379
2019-10-27 20:38:09,41042,2.9593236,4.087027,8.691217
2019-10-27 20:38:10,42037,2.9952378,4.1157584,8.458973
2019-10-27 20:38:11,43041,3.0335462,4.103787,8.253065
2019-10-27 20:38:12,44042,3.284945,4.2642035,8.310528
2019-10-27 20:38:13,45037,3.8571768,6.4190507,5.9856873
2019-10-27 20:38:14,46007,3.9888618,6.325674,6.464542
2019-10-27 20:38:15,47041,3.2633965,5.4062724,7.6353426
2019-10-27 20:38:16,48041,3.0527003,5.3033185,7.6113997
2019-10-27 20:38:17,49026,3.8739367,5.341627,7.6473136
2019-10-27 20:38:18,50037,3.2107224,5.621757,7.4366174
2019-10-27 20:38:19,51018,2.9832664,5.794145,7.2450757
2019-10-27 20:38:20,52037,3.5411325,6.316097,6.567496
2019-10-27 20:38:21,53041,2.6073654,5.312896,8.001666
2019-10-27 20:38:22,54041,2.5594797,5.0614967,8.2027855
2019-10-27 20:38:23,55041,2.5522969,4.889109,8.5331955
2019-10-27 20:38:24,56041,2.657645,4.575459,8.219545
2019-10-27 20:38:25,57042,2.5379312,4.6281333,7.84125
2019-10-27 20:38:26,58041,2.545114,4.625739,8.236305
2019-10-27 20:38:27,59023,2.7031362,4.6496816,8.281796
2019-10-27 20:38:28,60041,2.482863,4.975303,8.006455
2019-10-27 20:38:29,61041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:30,62028,2.8252442,4.625739,8.0375805
2019-10-27 20:38:31,63040,2.8252442,4.625739,8.0375805
2019-10-27 20:38:32,64038,2.8252442,4.625739,8.0375805
2019-10-27 20:38:33,65024,2.8252442,4.625739,8.0375805
2019-10-27 20:38:34,66029,2.8252442,4.625739,8.0375805
2019-10-27 20:38:35,67041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:36,68037,2.8252442,4.625739,8.0375805
2019-10-27 20:38:37,69042,2.8252442,4.625739,8.0375805
2019-10-27 20:38:38,70016,2.8252442,4.625739,8.0375805
2019-10-27 20:38:39,71037,2.8252442,4.625739,8.0375805
2019-10-27 20:38:40,72041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:41,73025,2.8252442,4.625739,8.0375805
2019-10-27 20:38:42,74041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:43,75007,2.8252442,4.625739,8.0375805
2019-10-27 20:38:44,76016,2.8252442,4.625739,8.0375805
2019-10-27 20:38:45,77041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:46,78041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:47,79041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:48,80041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:49,81041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:50,82041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:51,83041,2.8252442,4.625739,8.0375805
2019-10-27 20:38:52,84040,2.8252442,4.625739,8.0375805
