	X	Y	Z	label
0	0.25618739999999995	2.9665065	9.4095	Walk
1	-2.6696165	4.4772940000000006	9.488511	Walk
2	1.3575538	-0.19393626	9.093455	Walk
3	0.09577099	0.08858817	9.893144	Walk
4	0.11492519	0.08858817	9.890749000000001	Walk
5	0.11492519	0.083799616	9.897932	Walk
6	0.11492519	0.08140534	9.905114999999999	Walk
7	0.17478207	0.18196489	9.964972	Walk
8	1.4820561	-0.84996754	10.877191	Walk
9	4.182798	-1.7238779	8.073495	Walk
10	0.023942748	-0.94095	9.953	Walk
11	0.026337024	0.023942748	9.864412	Walk
12	0.014365649	0.08140534	9.895537	Walk
13	0.019154198	0.043096945	9.871595	Walk
14	0.0023942748	-0.0023942748	9.862017999999999	Walk
15	0.009577099	0.007182824399999999	9.833286	Walk
16	0.026337024	0.03351985	9.790189999999999	Walk
17	0.011971374	-0.03351985	9.749487	Walk
18	0.0023942748	-0.021548472000000003	9.727939	Walk
19	0.009577099	-0.007182824399999999	9.72315	Walk
20	-0.0023942748	-0.052674048	9.708784	Walk
21	-0.0023942748	-0.007182824399999999	9.708784	Walk
22	0.028731298	-0.009577099	9.725544000000001	Walk
23	0.014365649	-0.043096945	9.7135725	Walk
24	0.031125572	-0.08140534	9.744699	Walk
25	0.031125572	0.03351985	9.744699	Walk
26	0.038308397	0.0	9.73991	Walk
27	0.021548472000000003	-0.016759925	9.73991	Walk
28	0.035914123	-0.031125572	9.747093	Walk
29	0.028731298	-0.023942748	9.751882	Walk
30	0.014365649	-0.009577099	9.775824	Walk
31	0.03351985	-0.009577099	9.775824	Walk
32	-0.019154198	0.11971374	9.747093	Walk
33	0.03351985	0.0670397	9.780613	Walk
34	0.0047885496	-0.04070267	9.763853	Walk
35	0.019154198	0.016759925	9.785401	Walk
36	0.011971374	-0.031125572	9.780613	Walk
37	0.03351985	-0.0047885496	9.75667	Walk
38	0.021548472000000003	-0.011971374	9.771035000000001	Walk
39	0.026337024	-0.0047885496	9.768641	Walk
40	0.014365649	-0.023942748	9.754275	Walk
41	0.014365649	-0.019154198	9.744699	Walk
42	0.019154198	-0.019154198	9.747093	Walk
43	0.009577099	0.043096945	9.759064	Walk
44	0.019154198	-0.083799616	9.771035000000001	Walk
45	0.023942748	-0.0023942748	9.773430000000001	Walk
46	0.021548472000000003	-0.009577099	9.792584	Walk
47	0.014365649	-0.023942748	9.775824	Walk
48	0.031125572	-0.009577099	9.780613	Walk
49	0.0023942748	-0.04070267	9.778217999999999	Walk
50	0.019154198	-0.019154198	9.802161	Walk
51	0.023942748	0.009577099	9.794978	Walk
52	0.035914123	0.007182824399999999	9.797373	Walk
53	0.023942748	0.021548472000000003	9.802161	Walk
54	0.021548472000000003	-0.028731298	9.811738	Walk
55	0.028731298	-0.03351985	9.804555	Walk
56	0.019154198	0.019154198	9.80695	Walk
57	0.014365649	0.007182824399999999	9.804555	Walk
58	0.031125572	-0.009577099	9.821315	Walk
59	0.026337024	-0.0023942748	9.809344	Walk
60	0.031125572	0.047885496	9.80695	Walk
61	0.028731298	-0.007182824399999999	9.80695	Walk
62	0.035914123	0.05027977	9.814133	Walk
63	0.026337024	0.011971374	9.809344	Walk
64	0.011971374	-0.019154198	9.80695	Walk
65	0.043096945	0.031125572	9.6896305	Walk
66	0.016759925	0.007182824399999999	9.8237095	Walk
67	0.035914123	0.007182824399999999	9.826103999999999	Walk
68	0.019154198	-0.011971374	9.814133	Walk
69	0.014365649	0.023942748	9.814133	Walk
70	0.016759925	-0.019154198	9.826103999999999	Walk
71	0.023942748	-0.019154198	9.842864	Walk
72	0.014365649	0.0	9.80695	Walk
73	0.038308397	-0.014365649	9.826103999999999	Walk
74	0.009577099	0.011971374	9.833286	Walk
75	0.045491222000000005	0.009577099	9.835681	Walk
76	0.031125572	-0.016759925	9.821315	Walk
77	0.045491222000000005	-0.007182824399999999	9.840469	Walk
78	0.011971374	-0.028731298	9.8237095	Walk
79	0.03351985	0.035914123	9.821315	Walk
80	0.021548472000000003	0.011971374	9.8237095	Walk
81	0.023942748	0.007182824399999999	9.814133	Walk
82	0.038308397	-0.009577099	9.840469	Walk
83	0.031125572	0.019154198	9.818921000000001	Walk
84	0.023942748	-0.0023942748	9.828498	Walk
85	0.016759925	-0.011971374	9.847652	Walk
86	0.021548472000000003	0.0	9.816526	Walk
87	0.011971374	-0.028731298	9.835681	Walk
88	0.016759925	0.04070267	9.80695	Walk
89	0.014365649	-0.007182824399999999	9.842864	Walk
90	0.019154198	-0.016759925	9.8548355	Walk
91	0.009577099	-0.05027977	9.8237095	Walk
92	0.019154198	-0.009577099	9.835681	Walk
93	0.03351985	0.011971374	9.840469	Walk
94	0.028731298	-0.014365649	9.828498	Walk
95	0.016759925	-0.016759925	9.842864	Walk
96	0.05027977	0.023942748	9.821315	Walk
97	0.04070267	0.0	9.821315	Walk
98	0.026337024	0.0	9.818921000000001	Walk
99	0.016759925	-0.0023942748	9.828498	Walk
100	0.028731298	0.0	9.828498	Walk
101	0.023942748	-0.014365649	9.830893	Walk
102	0.031125572	-0.016759925	9.826103999999999	Walk
103	0.021548472000000003	-0.0047885496	9.835681	Walk
104	0.011971374	0.011971374	9.835681	Walk
105	0.05985687	-0.0047885496	9.828498	Walk
106	0.031125572	0.0023942748	9.828498	Walk
107	0.035914123	-0.026337024	9.835681	Walk
108	0.016759925	-0.062251142999999995	9.835681	Walk
109	0.014365649	0.028731298	9.833286	Walk
110	0.023942748	0.0	9.826103999999999	Walk
111	0.019154198	0.0023942748	9.845258	Walk
112	0.011971374	-0.0047885496	9.835681	Walk
113	0.023942748	0.045491222000000005	9.821315	Walk
114	0.03351985	0.007182824399999999	9.828498	Walk
115	0.011971374	0.045491222000000005	9.826103999999999	Walk
116	0.028731298	-0.083799616	9.864412	Walk
117	0.023942748	0.014365649	9.833286	Walk
118	0.026337024	0.035914123	9.833286	Walk
119	0.035914123	0.019154198	9.838076	Walk
120	0.019154198	0.0023942748	9.821315	Walk
121	0.035914123	-0.028731298	9.821315	Walk
122	0.023942748	0.021548472000000003	9.821315	Walk
123	0.011971374	-0.014365649	9.842864	Walk
124	0.031125572	0.071828246	9.830893	Walk
125	0.023942748	0.007182824399999999	9.840469	Walk
126	0.014365649	0.007182824399999999	9.833286	Walk
127	0.0047885496	0.023942748	9.845258	Walk
