Timestamp,Milliseconds,centimeters
2019-10-27 16:06:15,1,8.0
2019-10-27 16:06:16,1001,8.0
2019-10-27 16:06:17,2001,8.0
2019-10-27 16:06:18,3001,8.0
2019-10-27 16:06:19,4001,8.0
2019-10-27 16:06:20,5002,8.0
2019-10-27 16:06:21,6001,8.0
2019-10-27 16:06:22,7001,8.0
2019-10-27 16:06:23,8001,8.0
2019-10-27 16:06:24,9002,8.0
2019-10-27 16:06:25,10001,8.0
2019-10-27 16:06:26,11002,8.0
2019-10-27 16:06:27,12001,8.0
2019-10-27 16:06:28,13001,8.0
2019-10-27 16:06:29,14001,8.0
2019-10-27 16:06:30,15002,8.0
2019-10-27 16:06:31,16001,8.0
2019-10-27 16:06:32,17001,8.0
2019-10-27 16:06:33,18001,8.0
2019-10-27 16:06:34,19002,8.0
2019-10-27 16:06:35,20001,8.0
2019-10-27 16:06:36,21001,8.0
2019-10-27 16:06:37,22001,8.0
2019-10-27 16:06:38,23001,8.0
2019-10-27 16:06:39,24002,8.0
2019-10-27 16:06:40,25001,8.0
2019-10-27 16:06:41,26001,8.0
2019-10-27 16:06:42,27001,8.0
2019-10-27 16:06:43,28001,8.0
2019-10-27 16:06:44,29002,8.0
2019-10-27 16:06:45,30001,8.0
2019-10-27 16:06:46,31001,8.0
2019-10-27 16:06:47,32001,8.0
2019-10-27 16:06:48,33002,8.0
2019-10-27 16:06:49,34001,8.0
2019-10-27 16:06:50,35001,8.0
2019-10-27 16:06:51,36001,8.0
2019-10-27 16:06:52,37001,8.0
2019-10-27 16:06:53,38002,8.0
2019-10-27 16:06:54,39001,8.0
2019-10-27 16:06:55,40001,8.0
2019-10-27 16:06:56,41001,8.0
2019-10-27 16:06:57,42002,8.0
2019-10-27 16:06:58,43001,8.0
2019-10-27 16:06:59,44001,8.0
2019-10-27 16:07:00,45001,8.0
2019-10-27 16:07:01,46001,8.0
2019-10-27 16:07:02,47001,8.0
2019-10-27 16:07:03,48002,8.0
2019-10-27 16:07:04,49001,8.0
2019-10-27 16:07:05,50002,8.0
2019-10-27 16:07:06,51001,8.0
2019-10-27 16:07:07,52002,8.0
2019-10-27 16:07:08,53001,8.0
2019-10-27 16:07:09,54001,8.0
2019-10-27 16:07:10,55002,8.0
2019-10-27 16:07:11,56001,8.0
2019-10-27 16:07:12,57001,8.0
